año,Contrato,Obra,Descripción,Monto Contrato
2024,SIOP-E-PAV-OB-CSS-284-2024,"CONSTRUCCIÓN DE LATERALES Y OBRAS COMPLEMENTARIAS EN LATERALES EXISTENTES DEL PERIFÉRICO MANUEL GÓMEZ MORÍN, DEL KM. 13+100 AL KM. 23+000, LADO ORIENTE, EN EL MUNICIPIO DE ZAPOPAN, JALISCO. SEGUNDA ETAPA. FRENTE 2.","CONSTRUCCIÓN DE LATERALES Y OBRAS COMPLEMENTARIAS EN LATERALES EXISTENTES DEL PERIFÉRICO MANUEL GÓMEZ MORÍN, DEL KM. 13+100 AL KM. 23+000, LADO ORIENTE, EN EL MUNICIPIO DE ZAPOPAN, JALISCO. SEGUNDA ETAPA. FRENTE 2.","$12,153,596"
2024,SIOP-E-IV-OB-CSS-291-2024,"CONSTRUCCIÓN DE PUENTE VEHICULAR SOBRE EL RÍO ZULA, EN EL MUNICIPIO DE OCOTLÁN, JALISCO. SEGUNDA ETAPA. FRENTE 1.","CONSTRUCCIÓN DE PUENTE VEHICULAR SOBRE EL RÍO ZULA, EN EL MUNICIPIO DE OCOTLÁN, JALISCO. SEGUNDA ETAPA. FRENTE 1.","$12,424,686"
2024,SIOP-E-IV-OB-CSS-295-2024,"CONSTRUCCIÓN DE PUENTE VEHICULAR SOBRE EL RÍO ZULA, EN EL MUNICIPIO DE OCOTLÁN, JALISCO. SEGUNDA ETAPA. FRENTE 3.","CONSTRUCCIÓN DE PUENTE VEHICULAR SOBRE EL RÍO ZULA, EN EL MUNICIPIO DE OCOTLÁN, JALISCO. SEGUNDA ETAPA. FRENTE 3.","$13,713,209"
2024,SIOP-E-IV-OB-CSS-296-2024,"CONSTRUCCIÓN DE PUENTE VEHICULAR SOBRE EL RÍO ZULA, EN EL MUNICIPIO DE OCOTLÁN, JALISCO. SEGUNDA ETAPA. FRENTE 4.","CONSTRUCCIÓN DE PUENTE VEHICULAR SOBRE EL RÍO ZULA, EN EL MUNICIPIO DE OCOTLÁN, JALISCO. SEGUNDA ETAPA. FRENTE 4.","$7,933,789"
2024,SIOP-E-TROMPO-OB-AD-872-2024,"REHABILITACIÓN DEL MUSEO TROMPO MÁGICO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 17.","REHABILITACIÓN DEL MUSEO TROMPO MÁGICO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 17.","$384,300"
2024,SIOP-E-SMA-OB-CSS-256-2024,"CONSTRUCCIÓN DEL HOSPITAL REGIONAL DE CANCEROLOGÍA, UBICADO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 4.","CONSTRUCCIÓN DEL HOSPITAL REGIONAL DE CANCEROLOGÍA, UBICADO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 4.","$9,579,790"
2024,SIOP-E-SMA-OB-CSS-319-2024,"CONSTRUCCIÓN DEL HOSPITAL REGIONAL DE CANCEROLOGÍA, UBICADO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 14.","CONSTRUCCIÓN DEL HOSPITAL REGIONAL DE CANCEROLOGÍA, UBICADO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 14.","$4,147,836"
2024,SIOP-E-FINEDUC-OB-CSS-112-2024,"MEJORAMIENTO DE INFRAESTRUCTURA EN LA ESCUELA CECYTEJ SANTA MARGARITA CCT 14ETC0025S, EN EL MUNICIPIO DE ZAPOPAN, JALISCO. SEGUNDA ETAPA. FRENTE 2.","MEJORAMIENTO DE INFRAESTRUCTURA EN LA ESCUELA CECYTEJ SANTA MARGARITA CCT 14ETC0025S, EN EL MUNICIPIO DE ZAPOPAN, JALISCO. SEGUNDA ETAPA. FRENTE 2.","$2,513,997"
2024,SIOP-E-ICAR-OB-CSS-201-2024,"ESTABILIZACIÓN DE TALUDES EN LA CARRETERA ESTATAL CÓDIGO 711 BOLAÑOS - HUEJUQUILLA EL ALTO, MUNICIPIOS DE BOLAÑOS Y HUEJUQUILLA EL ALTO, JALISCO. SEGUNDA ETAPA. FRENTE 2.","ESTABILIZACIÓN DE TALUDES EN LA CARRETERA ESTATAL CÓDIGO 711 BOLAÑOS - HUEJUQUILLA EL ALTO, MUNICIPIOS DE BOLAÑOS Y HUEJUQUILLA EL ALTO, JALISCO. SEGUNDA ETAPA. FRENTE 2.","$10,991,436"
2024,SIOP-E-FINEDUC-OB-CSS-260-2024,"CONSTRUCCIÓN DE MÓDULO EN LA ESCUELA PRIMARIA GUILLERMO GONZÁLEZ CAMARENA CCT 14EPR1172Y, EN LA LOCALIDAD DE HACIENDA SANTA FE, MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA, JALISCO. FRENTE 3.","CONSTRUCCIÓN DE MÓDULO EN LA ESCUELA PRIMARIA GUILLERMO GONZÁLEZ CAMARENA CCT 14EPR1172Y, EN LA LOCALIDAD DE HACIENDA SANTA FE, MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA, JALISCO. FRENTE 3.","$12,499,518"
2024,SIOP-E-FINEDUC-OB-CSS-275-2024,"CONSTRUCCIÓN DE MÓDULO EN LA ESCUELA PRIMARIA GUILLERMO GONZÁLEZ CAMARENA CCT 14EPR1172Y, EN LA LOCALIDAD DE HACIENDA SANTA FE, MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA, JALISCO. FRENTE 4.","CONSTRUCCIÓN DE MÓDULO EN LA ESCUELA PRIMARIA GUILLERMO GONZÁLEZ CAMARENA CCT 14EPR1172Y, EN LA LOCALIDAD DE HACIENDA SANTA FE, MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA, JALISCO. FRENTE 4.","$12,469,283"
2024,SIOP-E-SMA-OB-AD-276-2024,"CONSTRUCCIÓN DEL HOSPITAL REGIONAL DE CANCEROLOGÍA, UBICADO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 10.","CONSTRUCCIÓN DEL HOSPITAL REGIONAL DE CANCEROLOGÍA, UBICADO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 10.","$1,208,225"
2024,SIOP-E-SMA-OB-AD-277-2024,"CONSTRUCCIÓN DEL HOSPITAL REGIONAL DE CANCEROLOGÍA, UBICADO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 11.","CONSTRUCCIÓN DEL HOSPITAL REGIONAL DE CANCEROLOGÍA, UBICADO EN EL MUNICIPIO DE ZAPOPAN, JALISCO. TERCERA ETAPA. FRENTE 11.","$681,010"
2024,SIOP-E-HID-OB-CSS-286-2024,"CONSTRUCCIÓN DE CAJAS DE HINCADO PARA COLECTOR PLUVIAL UBICADO EN LA LATERAL DE PERIFÉRICO MANUEL GÓMEZ MORÍN EN SU CRUCE CON LAS VÍAS DEL FC DE LA LÍNEA ""I"" IRUAPUATO - MANZANILLO, EN EL MUNICIPIO DE SAN PEDRO TLAQUEPAQUE, JALISCO.","CONSTRUCCIÓN DE CAJAS DE HINCADO PARA COLECTOR PLUVIAL UBICADO EN LA LATERAL DE PERIFÉRICO MANUEL GÓMEZ MORÍN EN SU CRUCE CON LAS VÍAS DEL FC DE LA LÍNEA ""I"" IRUAPUATO - MANZANILLO, EN EL MUNICIPIO DE SAN PEDRO TLAQUEPAQUE, JALISCO.","$7,463,041"
2024,SIOP-E-SMA-OB-CSS-321-2024,"CONSTRUCCIÓN DE OBRA COMPLEMENTARIA EN LA REHABILITACIÓN DEL ANTIGUO HOSPITAL CIVIL, EN EL MUNICIPIO DE GUADALAJARA, JALISCO. FRENTE 2.","CONSTRUCCIÓN DE OBRA COMPLEMENTARIA EN LA REHABILITACIÓN DEL ANTIGUO HOSPITAL CIVIL, EN EL MUNICIPIO DE GUADALAJARA, JALISCO. FRENTE 2.","$5,054,570"
2024,SIOP-E-SMA-OB-CSS-322-2024,"CONSTRUCCIÓN DE OBRA COMPLEMENTARIA EN LA REHABILITACIÓN DEL ANTIGUO HOSPITAL CIVIL, EN EL MUNICIPIO DE GUADALAJARA, JALISCO. FRENTE 3.","CONSTRUCCIÓN DE OBRA COMPLEMENTARIA EN LA REHABILITACIÓN DEL ANTIGUO HOSPITAL CIVIL, EN EL MUNICIPIO DE GUADALAJARA, JALISCO. FRENTE 3.","$5,185,531"
2024,SIOP-E-SMA-OB-CSS-326-2024,"CONSTRUCCIÓN DE OBRA COMPLEMENTARIA EN LA REHABILITACIÓN DEL ANTIGUO HOSPITAL CIVIL, EN EL MUNICIPIO DE GUADALAJARA, JALISCO. FRENTE 7.","CONSTRUCCIÓN DE OBRA COMPLEMENTARIA EN LA REHABILITACIÓN DEL ANTIGUO HOSPITAL CIVIL, EN EL MUNICIPIO DE GUADALAJARA, JALISCO. FRENTE 7.","$5,661,790"
2024,SIOP-E-SMA-OB-CSS-328-2024,"CONSTRUCCIÓN DE OBRA COMPLEMENTARIA EN LA REHABILITACIÓN DEL ANTIGUO HOSPITAL CIVIL, EN EL MUNICIPIO DE GUADALAJARA, JALISCO. FRENTE 9.","CONSTRUCCIÓN DE OBRA COMPLEMENTARIA EN LA REHABILITACIÓN DEL ANTIGUO HOSPITAL CIVIL, EN EL MUNICIPIO DE GUADALAJARA, JALISCO. FRENTE 9.","$3,118,215"
2024,SIOP-E-FINEDUC-OB-CSS-307-2024,"MEJORAMIENTO DE INFRAESTRUCTURA EN LA ESCUELA PRIMARIA FEDERAL FRANCISCO GONZÁLEZ BOCANEGRA CCT 14DPR2166V, EN EL MUNICIPIO DE VALLE DE GUADALUPE, JALISCO. SEGUNDA ETAPA. FRENTE 2.","MEJORAMIENTO DE INFRAESTRUCTURA EN LA ESCUELA PRIMARIA FEDERAL FRANCISCO GONZÁLEZ BOCANEGRA CCT 14DPR2166V, EN EL MUNICIPIO DE VALLE DE GUADALUPE, JALISCO. SEGUNDA ETAPA. FRENTE 2.","$3,436,935"
2024,SIOP-E-SMA-OB-CSS-311-2024,"CONSTRUCCIÓN DEL “MÓDULO B” DEL NUEVO HOSPITAL CIVIL DE ORIENTE, EN EL MUNICIPIO DE TONALÁ, JALISCO. TERCERA ETAPA. FRENTE 11.","CONSTRUCCIÓN DEL “MÓDULO B” DEL NUEVO HOSPITAL CIVIL DE ORIENTE, EN EL MUNICIPIO DE TONALÁ, JALISCO. TERCERA ETAPA. FRENTE 11.","$9,570,985"
2024,SIOP-E-FINEDUC-OB-AD-363-2024,"MEJORAMIENTO DE INFRAESTRUCTURA EN EL CECYTEJ TLAJOMULCO SANTA FE - CHULAVISTA CCT 14ETC0021W, EN EL MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA, JALISCO. SEGUNDA ETAPA. FRENTE 1.","MEJORAMIENTO DE INFRAESTRUCTURA EN EL CECYTEJ TLAJOMULCO SANTA FE - CHULAVISTA CCT 14ETC0021W, EN EL MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA, JALISCO. SEGUNDA ETAPA. FRENTE 1.","$2,305,116"
2024,SIOP-E-FINEDUC-OB-AD-365-2024,"MEJORAMIENTO DE INFRAESTRUCTURA EN EL CECYTEJ TLAJOMULCO SANTA FE - CHULAVISTA CCT 14ETC0021W, EN EL MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA, JALISCO. SEGUNDA ETAPA. FRENTE 3","MEJORAMIENTO DE INFRAESTRUCTURA EN EL CECYTEJ TLAJOMULCO SANTA FE - CHULAVISTA CCT 14ETC0021W, EN EL MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA, JALISCO. SEGUNDA ETAPA. FRENTE 3","$2,496,168"
2024,SIOP-E-PAVFI-OB-CSS-203-2024,"PAVIMENTACIÓN CON EMPEDRADO TRADICIONAL Y HUELLAS DE CONCRETO HIDRÁULICO EN LA CALLE FRANCISCO GONZÁLEZ BOCANEGRA EN LA CABECERA MUNICIPAL DE AUTLÁN DE NAVARRO, JALISCO.","PAVIMENTACIÓN CON EMPEDRADO TRADICIONAL Y HUELLAS DE CONCRETO HIDRÁULICO EN LA CALLE FRANCISCO GONZÁLEZ BOCANEGRA EN LA CABECERA MUNICIPAL DE AUTLÁN DE NAVARRO, JALISCO.","$3,987,020"
2024,SIOP-E-IVTUR-OB-CSS-330-2024,"PAVIMENTACIÓN DE CARRILES LATERALES, CICLOVÍA, BANQUETAS, PAISAJE Y ENTORNO URBANO, DEL BOULEVARD FRANCISCO MEDINA ASCENCIO, EN LA CABECERA MUNICIPAL DE PUERTO VALLARTA, JALISCO. QUINTA ETAPA. FRENTE 1.","PAVIMENTACIÓN DE CARRILES LATERALES, CICLOVÍA, BANQUETAS, PAISAJE Y ENTORNO URBANO, DEL BOULEVARD FRANCISCO MEDINA ASCENCIO, EN LA CABECERA MUNICIPAL DE PUERTO VALLARTA, JALISCO. QUINTA ETAPA. FRENTE 1.","$12,470,667"
2024,SIOP-E-PAVFI-OB-CSS-204-2024,"PAVIMENTACIÓN CON CONCRETO HIDRÁULICO, EN LAS CALLES SEÑOR CURA ALBERTO JARA ARELLANO Y PRESBÍTERO FRANCISCO RAMÍREZ, UBICADAS EN LA CABECERA MUNICIPAL DE JALOSTOTITLÁN, JALISCO.","PAVIMENTACIÓN CON CONCRETO HIDRÁULICO, EN LAS CALLES SEÑOR CURA ALBERTO JARA ARELLANO Y PRESBÍTERO FRANCISCO RAMÍREZ, UBICADAS EN LA CABECERA MUNICIPAL DE JALOSTOTITLÁN, JALISCO.","$2,986,362"
